course_title,Description,original_description,extracted_skills,combined_description
Introduction to Data Science Tools,"This course introduces graduate students to essential topics in social science research, such as epistemology, research design and methodological choices. Students will learn basic concepts such as method, theory, paradigm and research ethics, and approaches such as positivism and post-positivism. Students will be given a comprehensive education on qualitative and quantitative research methods. Students will learn about the stages of research in social sciences. Philosophy and sociology of information, theory, positivist social science, quantitative research methods, post-positivist and critical social science, feminist and post-modern research, qualitative research methods, theory research design and method, literature review, writing strategies, research ethics, and the politics of social research. The competence objectives of this course are as follows: To understand, define and explain the basic concepts and approaches in social research, To gain the ability to use qualitative and quantitative research methods, To acquire knowledge of social research processes, To gain experience in designing social research. Course Outcomes: Based on a critical analysis, students can choose and use appropriate scientific research methods in their research activities. Students can structure and plan a research project leading to a research proposal. Students can consider and apply ethical principles in research and publication.",this course introduces graduate students to essential topics in social science research such as epistemology research design and methodological choices students will learn basic concepts such as method theory paradigm and research ethics and approaches such as positivism and postpositivism students will be given a comprehensive education on qualitative and quantitative research methods students will learn about the stages of research in social sciences philosophy and sociology of information theory positivist social science quantitative research methods postpositivist and critical social science feminist and postmodern research qualitative research methods theory research design and method literature review writing strategies research ethics and the politics of social research the competence objectives of this course are as follows to understand define and explain the basic concepts and approaches in social research to gain the ability to use qualitative and quantitative research methods to acquire knowledge of social research processes to gain experience in designing social research course outcomes based on a critical analysis students can choose and use appropriate scientific research methods in their research activities students can structure and plan a research project leading to a research proposal students can consider and apply ethical principles in research and publication,information theory,"introduction to data science tools, this course introduces graduate students to essential topics in social science research, such as epistemology, research design and methodological choices students will learn basic concepts such as method, theory, paradigm and research ethics, and approaches such as positivism and postpositivism students will be given a comprehensive education on qualitative and quantitative research methods students will learn about the stages of research in social sciences philosophy and sociology of information, theory, positivist social science, quantitative research methods, postpositivist and critical social science, feminist and postmodern research, qualitative research methods, theory research design and method, literature review, writing strategies, research ethics, and the politics of social research the competence objectives of this course are as follows to understand, define and explain the basic concepts and approaches in social research, to gain the ability to use qualitative and quantitative research methods, to acquire knowledge of social research processes, to gain experience in designing social research course outcomes based on a critical analysis, students can choose and use appropriate scientific research methods in their research activities students can structure and plan a research project leading to a research proposal students can consider and apply ethical principles in research and publication, information theory"
Research Methods and Scientific Ethics,"This course aims to familiarise students with Data Science and Big Data fundamentals. Students will be trained in the skills needed to become a data scientist, including Introduction to R (Python) Programming and Advance Features in R (Python). The course introduces students to Visualization (Basic principles, ideas, and tools) and Advanced Visualization in R (Python). Exploratory Data Analysis and the Data Science Process will be presented. Basic tools (Visualization: plots and graphs and summary statistics) of EDA Using R (or Python) will be provided. Statistical Inference and Extracting Meaning from Data (Feature Generation, Feature Selection algorithms – Filters; Wrappers; Decision Trees; Random Forests, Example: Churn Analysis will be taught. Three Basic Machine Learning Algorithms - Linear Regression will be presented. Ethical Issues in Data Science (Privacy, Security, and Ethics) will be introduced. Course Outcomes: Students can describe the skill sets needed to be a data scientist. Students can use R and/or Python to carry out basic statistical modeling and analysis, such as statistical Inference. Students can apply basic tools, such as plots, graphs, summary statistics, etc. for exploratory data analysis (EDA). Students can apply basic machine learning algorithms (Linear Regression, k-Nearest Neighbors (k-NN), k-means, Naive Bayes) for predictive modeling. Students can create effective visualizations using different packages available in both R and Python. Students can apply basic SQL commands to extract data from or run queries on a structured database. Students can understand different types of noSQL and in-memory databases and reasons of usage.",this course aims to familiarise students with data science and big data fundamentals students will be trained in the skills needed to become a data scientist including introduction to r python programming and advance features in r python the course introduces students to visualization basic principles ideas and tools and advanced visualization in r python exploratory data analysis and the data science process will be presented basic tools visualization plots and graphs and summary statistics of eda using r or python will be provided statistical inference and extracting meaning from data feature generation feature selection algorithms filters wrappers decision trees random forests example churn analysis will be taught three basic machine learning algorithms linear regression will be presented ethical issues in data science privacy security and ethics will be introduced course outcomes students can describe the skill sets needed to be a data scientist students can use r andor python to carry out basic statistical modeling and analysis such as statistical inference students can apply basic tools such as plots graphs summary statistics etc for exploratory data analysis eda students can apply basic machine learning algorithms linear regression knearest neighbors knn kmeans naive bayes for predictive modeling students can create effective visualizations using different packages available in both r and python students can apply basic sql commands to extract data from or run queries on a structured database students can understand different types of nosql and inmemory databases and reasons of usage,"algorithms, big data, data science, decision tree learning, exploratory data analysis, feature selection, kmeans clustering, machine learning algorithms, nosql, python programming language, random forest algorithm, sql programming language, visualization","research methods and scientific ethics, this course aims to familiarise students with data science and big data fundamentals students will be trained in the skills needed to become a data scientist, including introduction to r python programming and advance features in r python the course introduces students to visualization basic principles, ideas, and tools and advanced visualization in r python exploratory data analysis and the data science process will be presented basic tools visualization plots and graphs and summary statistics of eda using r or python will be provided statistical inference and extracting meaning from data feature generation, feature selection algorithms filters wrappers decision trees random forests, example churn analysis will be taught three basic machine learning algorithms linear regression will be presented ethical issues in data science privacy, security, and ethics will be introduced course outcomes students can describe the skill sets needed to be a data scientist students can use r andor python to carry out basic statistical modeling and analysis, such as statistical inference students can apply basic tools, such as plots, graphs, summary statistics, etc for exploratory data analysis eda students can apply basic machine learning algorithms linear regression, knearest neighbors knn, kmeans, naive bayes for predictive modeling students can create effective visualizations using different packages available in both r and python students can apply basic sql commands to extract data from or run queries on a structured database students can understand different types of nosql and inmemory databases and reasons of usage, algorithms, big data, data science, decision tree learning, exploratory data analysis, feature selection, kmeans clustering, machine learning algorithms, nosql, python programming language, random forest algorithm, sql programming language, visualization"
Cyber Security Basics,"Operation System (OS) purposes are resource management and the extended virtual computer, historical development. Processes are critical sections and mutual exclusion, semaphores, monitors, classical problems, deadlock, process scheduling. Input and Output: hardware and software control. Memory management: multi-programming; swapping; virtual memory, paging and symbolic segmentation; File System: operations, implementation, performance. Operating System Security and Protection Mechanisms: protection domains, access lists, capability systems, the principle of minimum privilege, security threats and attacks, encryption, and authentication. Course Outcomes: Students can understand the concepts of interrupts, memory hierarchy, cache memory, direct memory Access, multiprocessor and multicore organization. Students are able to describe the objectives and functions of the operating systems. Students have a knowledge about the evolution of the operating systems. Students can know about the developments leading to modern OS. Students can understand the concepts of virtual machines. Students are able to write bash scripts to manipulate OS.",operation system os purposes are resource management and the extended virtual computer historical development processes are critical sections and mutual exclusion semaphores monitors classical problems deadlock process scheduling input and output hardware and software control memory management multiprogramming swapping virtual memory paging and symbolic segmentation file system operations implementation performance operating system security and protection mechanisms protection domains access lists capability systems the principle of minimum privilege security threats and attacks encryption and authentication course outcomes students can understand the concepts of interrupts memory hierarchy cache memory direct memory access multiprocessor and multicore organization students are able to describe the objectives and functions of the operating systems students have a knowledge about the evolution of the operating systems students can know about the developments leading to modern os students can understand the concepts of virtual machines students are able to write bash scripts to manipulate os,"microsoft access, authentications, encryption, file systems, memory hierarchy, memory management, multiprocessing, operating systems, wireless paging systems, resource management, virtual machines, virtual memory","cyber security basics, operation system os purposes are resource management and the extended virtual computer, historical development processes are critical sections and mutual exclusion, semaphores, monitors, classical problems, deadlock, process scheduling input and output hardware and software control memory management multiprogramming swapping virtual memory, paging and symbolic segmentation file system operations, implementation, performance operating system security and protection mechanisms protection domains, access lists, capability systems, the principle of minimum privilege, security threats and attacks, encryption, and authentication course outcomes students can understand the concepts of interrupts, memory hierarchy, cache memory, direct memory access, multiprocessor and multicore organization students are able to describe the objectives and functions of the operating systems students have a knowledge about the evolution of the operating systems students can know about the developments leading to modern os students can understand the concepts of virtual machines students are able to write bash scripts to manipulate os, microsoft access, authentications, encryption, file systems, memory hierarchy, memory management, multiprocessing, operating systems, wireless paging systems, resource management, virtual machines, virtual memory"
Computer Networks and Security,"This course will equip students with fundamental knowledge in the cybersecurity field. The course introduces key concepts and definitions, assets, cyber threats & vulnerabilities, and inherent risks. The course will familiarise students with a comprehensive cybersecurity strategy and teach them how to provide cybersecurity awareness (Training and Education) in their organisations. Other topics to be covered: Risk Management, Security Architecture, Security Implementation (Network security, routers, switches, firewalls, intrusion detection and prevention, application security, software development lifecycle, web application firewall, data security), Incident Response (Detection, prevention, response, security events and incidents, legal aspects), Mobile Security, Social Engineering, and Legal and Ethical issues in cybersecurity. Course Outcomes: Students learn in projects the fundamental technologies of security. Students can applying technologies for implementing of security requirements. Students can locate typical security flaws and vulnerabilities in distributed applications. Students can formulate high-level security policies for practical case studies. Students can identify risks and appropriate risk-reducing security measures. Students can perform a security analysis following accepted standards.",this course will equip students with fundamental knowledge in the cybersecurity field the course introduces key concepts and definitions assets cyber threats vulnerabilities and inherent risks the course will familiarise students with a comprehensive cybersecurity strategy and teach them how to provide cybersecurity awareness training and education in their organisations other topics to be covered risk management security architecture security implementation network security routers switches firewalls intrusion detection and prevention application security software development lifecycle web application firewall data security incident response detection prevention response security events and incidents legal aspects mobile security social engineering and legal and ethical issues in cybersecurity course outcomes students learn in projects the fundamental technologies of security students can applying technologies for implementing of security requirements students can locate typical security flaws and vulnerabilities in distributed applications students can formulate highlevel security policies for practical case studies students can identify risks and appropriate riskreducing security measures students can perform a security analysis following accepted standards,"application security, cyber threat intelligence, cyber security, cyber security strategy, data security, firewall, intrusion detection and prevention, mobile security, network security, risk management, network routing, security analysis, it security architecture, security implementation, security requirements analysis, social engineering, software development life cycle, network switches, vulnerability, application firewall, security policies","computer networks and security, this course will equip students with fundamental knowledge in the cybersecurity field the course introduces key concepts and definitions, assets, cyber threats vulnerabilities, and inherent risks the course will familiarise students with a comprehensive cybersecurity strategy and teach them how to provide cybersecurity awareness training and education in their organisations other topics to be covered risk management, security architecture, security implementation network security, routers, switches, firewalls, intrusion detection and prevention, application security, software development lifecycle, web application firewall, data security, incident response detection, prevention, response, security events and incidents, legal aspects, mobile security, social engineering, and legal and ethical issues in cybersecurity course outcomes students learn in projects the fundamental technologies of security students can applying technologies for implementing of security requirements students can locate typical security flaws and vulnerabilities in distributed applications students can formulate highlevel security policies for practical case studies students can identify risks and appropriate riskreducing security measures students can perform a security analysis following accepted standards, application security, cyber threat intelligence, cyber security, cyber security strategy, data security, firewall, intrusion detection and prevention, mobile security, network security, risk management, network routing, security analysis, it security architecture, security implementation, security requirements analysis, social engineering, software development life cycle, network switches, vulnerability, application firewall, security policies"
Operating Systems and System Programming,"The course covers principles of building secure systems. It explores the principles of up-to-date network systems and focuses on key operational and technical aspects. The course content is as follows: An Overview of Computer Security, Linux/Unix Security Basics, Software Security: Vulnerabilities, Attacks, and Countermeasures, Privileged programs (Set-UID programs) and vulnerabilities, Buffer Overflow Vulnerability and Attack, Race Condition Vulnerability and Attack, Format String vulnerability and Attack, Input Validation, Shellshock Attack, Web Security, Vulnerabilities, Attacks, and Countermeasures, Same Origin Policy, Cross-Site Scripting Attack, Cross-Site Request Forgery Attack, SQL-Injection Attack, Click-Jacking Attack, Web Tracking, Web Proxy and Firewall, Smartphone Security, Access control in Android Operating System, Rooting Android devices, Repackaging attacks, Attacks on Applications, Whole-disk Encryption, Hardware protection and TrustZone. Course Outcomes: Students can understand the fundamentals of communication networks, covering the 5-layer architecture, protocols, components like hubs, switches, and routers and functions of networks. Students obtain comprehensive knowledge of the Application Layer by focusing on web technologies like HTTP, SMTP, DNS, FTP and video streaming. Students attain an in-depth knowledge of the Transport Layer by examining the basics of UDP and TCP in detail. Students explore the data and control planes of Network Layer by covering forwarding, routing, IP, SNMP and Netconf/Yang. Students learn about the Link Layer and LANs, emphasizing error detection and correction, multiple access protocols, ARP and Ethernet. Students gain insights into wireless and mobile networks by addressing Wi-Fi, 4G & 5G technologies and mobility management. Students establish a strong foundation in network security by understanding message integrity, digital signatures and network layer security. Students acquire skills to work in the industry/ continue to academic journey in the field of communication networks.",the course covers principles of building secure systems it explores the principles of uptodate network systems and focuses on key operational and technical aspects the course content is as follows an overview of computer security linuxunix security basics software security vulnerabilities attacks and countermeasures privileged programs setuid programs and vulnerabilities buffer overflow vulnerability and attack race condition vulnerability and attack format string vulnerability and attack input validation shellshock attack web security vulnerabilities attacks and countermeasures same origin policy crosssite scripting attack crosssite request forgery attack sqlinjection attack clickjacking attack web tracking web proxy and firewall smartphone security access control in android operating system rooting android devices repackaging attacks attacks on applications wholedisk encryption hardware protection and trustzone course outcomes students can understand the fundamentals of communication networks covering the 5layer architecture protocols components like hubs switches and routers and functions of networks students obtain comprehensive knowledge of the application layer by focusing on web technologies like http smtp dns ftp and video streaming students attain an indepth knowledge of the transport layer by examining the basics of udp and tcp in detail students explore the data and control planes of network layer by covering forwarding routing ip snmp and netconfyang students learn about the link layer and lans emphasizing error detection and correction multiple access protocols arp and ethernet students gain insights into wireless and mobile networks by addressing wifi 4g 5g technologies and mobility management students establish a strong foundation in network security by understanding message integrity digital signatures and network layer security students acquire skills to work in the industry continue to academic journey in the field of communication networks,"5g technology, access controls, android operating system, application layers, address resolution protocols, buffer overflow, telecommunications networks, computer security, digital signature, encryption, ethernet, firewall, data validation, local area networks, linux, channel access method, network layer, network security, race condition, network routing, mobile security, smtp simple mail transfer protocol, simple network management protocols, software security, sql injection, network switches, transmission control protocol tcp, transport layer, unix security, vulnerability, proxy servers, wireless communications","operating systems and system programming, the course covers principles of building secure systems it explores the principles of uptodate network systems and focuses on key operational and technical aspects the course content is as follows an overview of computer security, linuxunix security basics, software security vulnerabilities, attacks, and countermeasures, privileged programs setuid programs and vulnerabilities, buffer overflow vulnerability and attack, race condition vulnerability and attack, format string vulnerability and attack, input validation, shellshock attack, web security, vulnerabilities, attacks, and countermeasures, same origin policy, crosssite scripting attack, crosssite request forgery attack, sqlinjection attack, clickjacking attack, web tracking, web proxy and firewall, smartphone security, access control in android operating system, rooting android devices, repackaging attacks, attacks on applications, wholedisk encryption, hardware protection and trustzone course outcomes students can understand the fundamentals of communication networks, covering the 5layer architecture, protocols, components like hubs, switches, and routers and functions of networks students obtain comprehensive knowledge of the application layer by focusing on web technologies like http, smtp, dns, ftp and video streaming students attain an indepth knowledge of the transport layer by examining the basics of udp and tcp in detail students explore the data and control planes of network layer by covering forwarding, routing, ip, snmp and netconfyang students learn about the link layer and lans, emphasizing error detection and correction, multiple access protocols, arp and ethernet students gain insights into wireless and mobile networks by addressing wifi, 4g 5g technologies and mobility management students establish a strong foundation in network security by understanding message integrity, digital signatures and network layer security students acquire skills to work in the industry continue to academic journey in the field of communication networks, 5g technology, access controls, android operating system, application layers, address resolution protocols, buffer overflow, telecommunications networks, computer security, digital signature, encryption, ethernet, firewall, data validation, local area networks, linux, channel access method, network layer, network security, race condition, network routing, mobile security, smtp simple mail transfer protocol, simple network management protocols, software security, sql injection, network switches, transmission control protocol tcp, transport layer, unix security, vulnerability, proxy servers, wireless communications"
Turkish,"The course aims at helping students improve their skills in written and oral narration by teaching them the features and rules of the language. Course Content: General information about language in general, world languages, the historical evolution of Turkish and its relationship with other languages, phonetical and morphological characteristics of Modern Turkish, applying/practising rules of orthography and punctuation. Course Outcomes : Students can understand and use familiar everyday expressions and very basic phrases aimed at the satisfaction of needs of a concrete type, Students can introduce themselves and others, Students can ask and answer questions about personal details such as where they live, what they like, where a place is, how much something costs, Students can interact in a simple way provided the other person talks slowly and clearly and is prepared to help. Students can write simple sentences and short paragraphs.",the course aims at helping students improve their skills in written and oral narration by teaching them the features and rules of the language course content general information about language in general world languages the historical evolution of turkish and its relationship with other languages phonetical and morphological characteristics of modern turkish applyingpractising rules of orthography and punctuation course outcomes students can understand and use familiar everyday expressions and very basic phrases aimed at the satisfaction of needs of a concrete type students can introduce themselves and others students can ask and answer questions about personal details such as where they live what they like where a place is how much something costs students can interact in a simple way provided the other person talks slowly and clearly and is prepared to help students can write simple sentences and short paragraphs,,"turkish, the course aims at helping students improve their skills in written and oral narration by teaching them the features and rules of the language course content general information about language in general, world languages, the historical evolution of turkish and its relationship with other languages, phonetical and morphological characteristics of modern turkish, applyingpractising rules of orthography and punctuation course outcomes students can understand and use familiar everyday expressions and very basic phrases aimed at the satisfaction of needs of a concrete type, students can introduce themselves and others, students can ask and answer questions about personal details such as where they live, what they like, where a place is, how much something costs, students can interact in a simple way provided the other person talks slowly and clearly and is prepared to help students can write simple sentences and short paragraphs"
German/Macedonian,This course explores common vulnerabilities and how an adversary can exploit vulnerabilities to disrupt a system’s integrity. The course covers the common attack techniques that can be used for penetration testing but also can help understand how to avoid common exploits that creep into systems during the design and implementation phases. ,this course explores common vulnerabilities and how an adversary can exploit vulnerabilities to disrupt a systems integrity the course covers the common attack techniques that can be used for penetration testing but also can help understand how to avoid common exploits that creep into systems during the design and implementation phases,"penetration testing, vulnerability","germanmacedonian, this course explores common vulnerabilities and how an adversary can exploit vulnerabilities to disrupt a systems integrity the course covers the common attack techniques that can be used for penetration testing but also can help understand how to avoid common exploits that creep into systems during the design and implementation phases , penetration testing, vulnerability"
Cryptography,"Based on the Common Framework Program for European Languages, it aims to improve students' ability to communicate at the initial level, as well as their reading comprehension, listening comprehension, writing and speaking skills. Course Content: Greeting, introducing yourself and someone else, ordering in a cafe and paying an account, objects, cities and attractions, countries and languages, geographical directions, items, home recipe, daily flow, giving information about life and workplaces, ordinal numbers, prepositions. German Outcomes: At the end of this class, students can greet each other At the end of this class, students can read the alphabet and spell their own name students can order and pay in a cafe students can tell objects in the class students can say singular and plural nouns students can speak about cities, languages,people students can say about cardinal points students can write an E-Mail students can use Question words, tell the time students can tell the days and months students can tell the daily routine students can use past verb haben students can say ordinal numbers and dates",based on the common framework program for european languages it aims to improve students ability to communicate at the initial level as well as their reading comprehension listening comprehension writing and speaking skills course content greeting introducing yourself and someone else ordering in a cafe and paying an account objects cities and attractions countries and languages geographical directions items home recipe daily flow giving information about life and workplaces ordinal numbers prepositions german outcomes at the end of this class students can greet each other at the end of this class students can read the alphabet and spell their own name students can order and pay in a cafe students can tell objects in the class students can say singular and plural nouns students can speak about cities languagespeople students can say about cardinal points students can write an email students can use question words tell the time students can tell the days and months students can tell the daily routine students can use past verb haben students can say ordinal numbers and dates,communication,"cryptography, based on the common framework program for european languages, it aims to improve students ability to communicate at the initial level, as well as their reading comprehension, listening comprehension, writing and speaking skills course content greeting, introducing yourself and someone else, ordering in a cafe and paying an account, objects, cities and attractions, countries and languages, geographical directions, items, home recipe, daily flow, giving information about life and workplaces, ordinal numbers, prepositions german outcomes at the end of this class, students can greet each other at the end of this class, students can read the alphabet and spell their own name students can order and pay in a cafe students can tell objects in the class students can say singular and plural nouns students can speak about cities, languages,people students can say about cardinal points students can write an email students can use question words, tell the time students can tell the days and months students can tell the daily routine students can use past verb haben students can say ordinal numbers and dates, communication"
System Exploitation and Penetration Testing,"This course explores cryptography concepts for enhancing the security properties of systems being designed, implemented, and maintained. Common cryptanalysis techniques and tools are covered.",this course explores cryptography concepts for enhancing the security properties of systems being designed implemented and maintained common cryptanalysis techniques and tools are covered,"cryptanalysis, cryptography","system exploitation and penetration testing, this course explores cryptography concepts for enhancing the security properties of systems being designed, implemented, and maintained common cryptanalysis techniques and tools are covered, cryptanalysis, cryptography"
Information Security Management Systems (ISMS),"After completing the module, students are able to apply the standards of BSI Basic Protection and ISO 27001 / ISO 27002. They can analyse and evaluate the security level within an organisation concerning these standards and develop measures for optimisation. They can convincingly defend these optimisations against objections. The course content consists of these main topics. Introduction and Fundamentals – ISMS and ISO, Overview of the standards of the ISO/IEC 27000 family, Fundamentals of Information Security Management Systems (ISMS), ISO/IEC 27001 – Requirements, ISO/IEC 27002 – Recommendations and Guidance, Related Standards and Frameworks, Processes of an ISMS, Certification Opportunities with ISO/IEC 27001.",after completing the module students are able to apply the standards of bsi basic protection and iso 27001 iso 27002 they can analyse and evaluate the security level within an organisation concerning these standards and develop measures for optimisation they can convincingly defend these optimisations against objections the course content consists of these main topics introduction and fundamentals isms and iso overview of the standards of the isoiec 27000 family fundamentals of information security management systems isms isoiec 27001 requirements isoiec 27002 recommendations and guidance related standards and frameworks processes of an isms certification opportunities with isoiec 27001,"information security management systems, isoiec 27001, isoiec 27002, isoiec 27000 series","information security management systems isms, after completing the module, students are able to apply the standards of bsi basic protection and iso 27001 iso 27002 they can analyse and evaluate the security level within an organisation concerning these standards and develop measures for optimisation they can convincingly defend these optimisations against objections the course content consists of these main topics introduction and fundamentals isms and iso, overview of the standards of the isoiec 27000 family, fundamentals of information security management systems isms, isoiec 27001 requirements, isoiec 27002 recommendations and guidance, related standards and frameworks, processes of an isms, certification opportunities with isoiec 27001, information security management systems, isoiec 27001, isoiec 27002, isoiec 27000 series"
