char_len,word_count,sentence_count
1480,203,1
1928,276,1
1362,171,1
1782,213,1
2700,347,1
947,142,1
392,56,1
1140,176,1
263,31,1
839,114,1
415,57,1
1278,176,1
668,91,1
880,126,1
795,95,1
588,78,1
1891,245,1
606,94,1
835,92,1
1401,191,1
973,115,1
1224,165,1
620,89,1
547,69,1
443,49,1
1489,203,1
813,107,1
703,79,1
448,61,1
1165,153,1
1092,156,1
2323,325,1
1112,150,1
1079,138,1
450,65,1
2500,379,1
1672,227,1
756,112,1
1302,149,1
2237,320,1
2551,349,1
1587,204,1
1584,195,1
1487,212,1
1591,239,1
2822,391,1
814,125,1
1543,225,1
3264,421,1
2878,397,1
2528,382,1
1756,214,1
2719,381,1
1687,233,1
3221,451,1
3255,471,1
1915,259,1
1851,275,1
1840,250,1
1825,241,1
3666,485,1
1519,222,1
2839,391,1
955,119,1
2568,342,1
3821,532,1
1885,240,1
1413,193,1
2265,321,1
1807,244,1
693,98,1
860,124,1
881,110,1
1063,150,1
596,91,1
527,79,1
918,149,1
546,89,1
542,91,1
598,96,1
1867,239,1
2547,353,1
3814,548,1
2267,336,1
1481,195,1
772,101,1
1142,161,1
1437,191,1
962,172,1
1525,218,1
914,120,1
4010,583,1
1228,169,1
1184,180,1
1405,188,1
596,87,1
2126,284,1
1135,175,1
3227,475,1
812,115,1
2366,355,1
2534,377,1
1573,216,1
655,96,1
3396,478,1
1112,160,1
2479,347,1
824,107,1
2565,362,1
3599,487,1
3289,478,1
2279,309,1
2495,352,1
2393,316,1
1561,229,1
2780,402,1
2702,401,1
2489,350,1
2554,370,1
1756,235,1
1164,172,1
2248,312,1
2869,416,1
1639,227,1
1848,276,1
8157,1110,1
1767,242,1
2481,319,1
1058,152,1
1732,212,1
4311,658,1
2036,270,1
668,89,1
1051,143,1
1579,206,1
4582,637,1
2208,316,1
1331,188,1
1688,228,1
1627,225,1
5963,889,1
2764,369,1
2006,293,1
3064,401,1
926,121,1
5138,698,1
1111,153,1
3379,436,1
821,119,1
1116,172,1
2753,392,1
370,56,1
1358,167,1
894,138,1
2748,427,1
1552,212,1
769,113,1
965,148,1
2594,392,1
1105,148,1
1382,197,1
3656,513,1
2124,331,1
3947,553,1
1782,251,1
1362,200,1
3547,514,1
630,86,1
1688,234,1
1879,255,1
538,70,1
554,73,1
1153,153,1
1014,147,1
612,81,1
703,93,1
509,65,1
1079,153,1
792,99,1
1363,189,1
878,113,1
1176,148,1
1418,185,1
1575,213,1
1198,159,1
1058,146,1
1490,205,1
1661,252,1
2897,417,1
932,126,1
1506,209,1
827,97,1
499,64,1
388,50,1
