char_len,word_count,sentence_count
34,5,1
38,5,1
21,3,1
30,4,1
40,5,1
7,1,1
17,1,1
12,1,1
43,5,1
46,5,1
13,2,1
16,2,1
19,2,1
30,4,1
20,2,1
26,4,1
27,4,1
30,4,1
29,3,1
35,5,1
17,2,1
55,7,1
13,1,1
25,2,1
23,2,1
39,5,1
29,3,1
26,3,1
26,3,1
16,2,1
26,4,1
42,5,1
16,2,1
21,2,1
15,2,1
24,2,1
32,3,1
31,5,1
21,3,1
28,3,1
26,3,1
16,2,1
23,2,1
34,5,1
30,3,1
65,10,1
29,4,1
60,7,1
39,5,1
38,4,1
43,6,1
21,2,1
29,4,1
15,2,1
26,3,1
31,4,1
28,4,1
41,5,1
25,3,1
22,2,1
52,7,1
28,4,1
36,5,1
33,3,1
29,3,1
32,4,1
44,4,1
36,3,1
73,8,1
70,8,1
32,4,1
43,6,1
23,2,1
23,2,1
25,3,1
18,2,1
28,3,1
43,6,1
40,7,1
38,5,1
27,3,1
36,4,1
27,3,1
19,2,1
20,2,1
20,2,1
20,3,1
40,5,1
23,5,1
33,4,1
27,4,1
16,2,1
64,8,1
42,6,1
26,3,1
36,5,1
20,2,1
27,4,1
31,4,1
16,2,1
51,7,1
52,7,1
26,4,1
26,4,1
16,3,1
20,2,1
8,2,1
24,3,1
27,4,1
26,3,1
42,6,1
28,3,1
31,4,1
51,6,1
63,9,1
26,4,1
27,4,1
32,5,1
23,4,1
62,9,1
43,6,1
20,2,1
40,4,1
19,2,1
27,4,1
33,4,1
68,8,1
57,7,1
41,5,1
35,5,1
27,4,1
22,2,1
37,5,1
27,2,1
15,2,1
29,5,1
17,2,1
42,4,1
20,2,1
10,1,1
30,4,1
25,3,1
19,2,1
32,4,1
32,4,1
39,4,1
32,4,1
33,4,1
34,4,1
24,3,1
19,2,1
34,4,1
46,6,1
22,3,1
22,2,1
24,3,1
36,5,1
16,2,1
32,3,1
26,2,1
23,4,1
41,5,1
39,5,1
23,3,1
29,4,1
21,2,1
14,2,1
21,2,1
24,3,1
51,6,1
51,6,1
46,5,1
20,2,1
52,5,1
31,3,1
42,6,1
43,5,1
25,2,1
16,2,1
34,4,1
41,6,1
26,2,1
53,6,1
20,2,1
40,5,1
50,6,1
16,2,1
56,8,1
28,4,1
18,3,1
21,3,1
16,2,1
18,2,1
16,2,1
10,1,1
12,1,1
16,2,1
32,4,1
13,1,1
17,2,1
25,3,1
34,4,1
38,4,1
25,3,1
17,2,1
32,4,1
20,2,1
42,5,1
23,3,1
24,2,1
33,4,1
18,2,1
16,2,1
32,3,1
32,3,1
24,3,1
21,3,1
32,4,1
33,4,1
32,4,1
23,3,1
37,5,1
13,1,1
26,3,1
17,2,1
12,1,1
15,2,1
17,2,1
22,3,1
30,5,1
21,2,1
22,3,1
22,3,1
20,2,1
34,6,1
23,3,1
15,2,1
17,2,1
25,4,1
23,3,1
28,3,1
25,3,1
12,2,1
19,2,1
10,1,1
14,2,1
28,3,1
26,3,1
30,4,1
19,2,1
11,1,1
31,4,1
29,4,1
25,3,1
17,2,1
36,5,1
34,4,1
23,2,1
20,2,1
19,2,1
30,3,1
