char_len,word_count,sentence_count
1438,196,9
1684,244,16
1147,146,11
1323,162,10
2068,273,11
946,142,4
341,51,2
1117,174,3
191,24,2
722,102,5
388,53,3
1180,165,6
633,87,1
758,111,9
693,84,4
550,73,3
1719,225,13
574,88,10
655,75,2
1247,171,5
864,102,10
1171,156,17
537,80,3
447,58,3
388,43,8
1405,188,36
756,98,9
669,74,5
433,58,5
1156,147,20
1045,148,9
2042,292,13
996,135,3
849,111,5
421,61,3
2401,371,19
1497,207,6
740,109,7
944,110,5
2019,296,10
2307,320,13
1442,186,9
1290,162,7
1320,191,8
1449,224,7
2582,357,20
774,119,6
1477,225,6
2758,359,29
2720,376,23
2448,370,13
1659,212,11
2686,375,21
1670,229,9
3043,433,20
2967,437,27
1596,222,10
1812,266,22
1590,226,17
1594,215,10
3349,447,18
1426,206,27
2766,380,18
918,114,9
2433,325,17
3565,496,30
1662,213,14
1282,184,11
2031,294,17
1609,227,12
544,82,7
711,107,10
655,87,11
921,136,9
485,78,5
485,75,3
893,146,5
504,83,3
470,79,7
543,87,8
1577,212,6
2364,328,15
3324,486,42
2066,312,18
1259,169,9
706,98,6
1096,153,16
1331,178,11
949,167,10
1416,200,16
760,108,3
3837,555,18
948,140,13
1095,166,9
1131,155,10
489,74,4
1925,264,17
1036,162,11
2976,442,31
736,107,3
2311,344,26
2463,364,27
1475,202,10
589,94,7
2865,420,31
1028,150,6
2233,317,23
657,84,17
2307,332,8
3245,452,25
3228,467,35
2081,286,21
2263,327,23
2023,270,23
1451,212,22
2520,365,23
2530,378,25
2261,320,27
2320,341,21
1463,197,22
1114,163,12
1805,258,11
2840,410,42
1579,220,21
1722,261,14
7706,1057,55
1621,232,25
2382,319,7
1001,145,6
1691,202,14
4235,640,32
1987,260,10
626,83,6
881,126,5
1451,191,6
4136,589,23
2109,301,17
1150,169,8
1472,202,9
1412,200,10
5677,851,46
2589,346,19
1852,275,15
2834,374,17
907,126,5
4938,666,34
989,139,7
3295,424,27
791,112,6
1085,167,16
2728,384,19
321,50,9
1310,160,8
800,126,5
2720,422,19
1350,189,4
683,102,9
944,145,6
2517,383,9
1062,142,6
1235,181,4
3584,505,18
2135,334,22
3840,545,29
1759,251,6
1361,198,9
3476,504,25
517,72,5
1579,219,18
1746,239,16
483,62,6
471,63,5
987,135,4
908,135,15
482,65,5
531,72,6
460,59,5
994,142,6
628,81,6
1270,179,8
768,99,1
1107,144,10
1243,163,12
1349,192,15
1056,147,10
935,134,9
1429,200,3
1558,238,12
2597,380,25
930,120,17
1387,195,1
803,91,16
423,55,4
274,37,1
300,40,2
237,32,1
633,93,7
737,110,9
1111,145,7
755,103,7
289,50,3
1276,163,3
627,83,2
226,33,1
1345,176,13
639,100,5
155,20,2
4422,653,25
332,45,2
6121,898,49
4892,718,22
3714,551,19
4111,608,25
4382,655,21
3344,495,22
3849,564,19
3134,465,21
2180,321,14
3056,438,19
3612,536,26
4342,630,37
3033,443,15
4915,720,36
448,61,4
570,73,6
309,37,2
159,21,1
262,32,2
388,48,1
725,105,5
215,30,2
620,82,5
553,72,4
702,101,5
385,48,2
334,47,2
770,114,6
192,23,1
411,55,3
257,34,1
764,102,6
114,13,2
449,60,1
353,49,2
604,91,3
318,50,2
344,52,4
131,15,1
1135,143,7
824,121,3
570,82,5
951,143,9
1456,216,16
2531,394,21
970,136,4
2170,333,15
885,134,3
697,92,4
1303,180,7
1833,283,12
1700,230,14
764,99,9
735,102,11
955,128,12
1760,248,31
394,55,8
948,121,30
1799,257,35
1189,159,27
835,108,24
810,116,7
840,123,14
794,107,16
814,113,21
277,32,3
286,38,4
1993,275,34
851,108,35
972,128,9
329,45,1
314,43,3
439,61,3
413,59,3
207,27,1
234,36,2
520,76,4
320,43,2
211,30,2
326,50,3
335,47,3
331,44,3
416,57,7
244,40,3
324,44,3
171,25,1
456,62,3
262,38,3
284,35,3
346,43,3
387,53,6
366,57,2
370,59,4
687,107,4
291,37,2
412,66,4
549,94,5
481,74,3
307,39,3
283,37,3
457,60,5
417,61,4
652,99,4
502,78,4
1140,189,10
457,75,4
586,85,4
309,49,4
536,94,4
610,91,4
399,59,3
1130,156,4
486,67,2
364,62,2
394,51,3
464,65,3
412,62,3
342,55,2
338,46,2
262,37,2
371,58,5
2648,368,18
2024,287,13
3029,423,36
1782,252,12
3501,503,45
4613,643,39
3779,523,28
2563,371,39
786,102,8
3271,491,19
2341,346,12
2423,351,11
2697,382,17
4359,636,39
4867,683,16
1233,166,11
998,157,8
1319,196,8
857,129,7
736,99,2
993,150,4
816,124,5
925,135,4
702,106,3
673,96,4
681,99,3
768,120,7
794,123,7
781,111,4
936,136,4
1059,158,5
393,60,2
772,120,3
513,77,3
3274,478,18
2335,314,33
594,87,6
2216,315,16
2134,308,16
2040,292,18
286,38,3
2835,437,21
1327,188,12
5985,826,70
849,109,4
1945,249,22
1264,198,9
1021,143,5
1752,232,7
1942,289,42
905,146,4
2690,378,19
1931,260,26
1018,133,11
953,141,7
1355,191,5
1872,258,4
2256,328,31
2194,287,49
2359,340,28
841,113,10
2506,377,8
1826,266,16
1360,199,18
1419,203,8
1057,142,10
2344,327,25
2803,392,37
2828,419,44
1664,236,7
1185,148,7
1563,234,20
2512,358,68
2803,360,31
2259,333,21
999,150,5
4045,558,63
2486,340,41
2275,324,26
1498,207,15
2328,335,22
538,63,4
3197,409,19
899,119,7
944,143,6
1828,250,19
1840,271,18
5548,792,48
1301,167,26
1365,169,5
950,126,5
1444,201,6
2100,277,37
1332,184,12
844,111,12
682,97,7
1854,270,9
1021,152,7
997,144,14
2220,300,9
449,76,4
527,78,4
1110,151,15
637,100,6
1548,207,13
335,51,4
661,98,6
336,51,4
659,81,2
335,51,4
1608,240,5
1622,231,7
2567,397,12
1575,239,7
1021,143,3
2382,373,13
2080,281,5
2646,351,19
1241,175,5
1482,207,5
565,83,3
1244,171,8
1597,232,19
2084,274,19
490,86,3
1778,263,14
980,137,19
1275,171,12
1807,258,11
1661,248,17
1553,221,10
1248,170,7
2972,378,21
4266,624,34
1461,170,14
1135,182,13
1679,240,16
2344,342,10
1694,245,30
2428,361,16
2143,317,13
1831,258,13
676,89,2
1663,228,18
1887,223,5
2032,260,24
2278,301,15
2584,390,30
2095,276,9
1422,197,7
1904,225,15
1859,252,14
1113,155,7
1418,199,10
1765,228,9
1458,197,20
1433,192,17
1907,265,14
1745,242,10
2321,304,19
1174,154,10
2050,270,13
1337,172,10
1453,218,18
1408,191,5
1513,194,25
1370,193,7
1451,219,52
2067,289,22
609,86,4
312,40,1
1064,137,7
623,86,4
1490,226,9
722,93,1
359,49,1
803,99,2
344,46,1
367,45,1
265,38,1
342,45,1
186,24,1
456,72,1
304,42,3
531,80,2
595,82,3
375,48,1
616,71,3
744,109,3
290,39,4
403,47,3
252,27,1
293,37,1
1868,264,12
4812,650,34
2538,341,25
2491,339,32
2735,354,18
2321,321,17
3304,420,19
3169,436,20
4618,692,18
3762,501,43
1196,164,6
3939,561,16
2353,301,20
3285,495,14
2190,315,11
5149,751,77
3644,456,10
2352,322,12
1533,234,10
4008,596,16
1167,148,8
5656,754,63
2184,286,37
2552,377,14
1237,185,5
1370,197,7
3969,545,34
1156,157,6
1445,213,9
825,114,4
1390,195,10
2343,346,11
732,115,4
1282,188,7
2620,342,6
915,134,5
1359,167,10
1070,148,12
2011,281,20
1552,238,5
1108,166,5
1102,170,3
786,124,5
1596,239,12
669,96,3
1940,253,3
1651,224,5
1228,179,6
2728,384,22
1768,236,18
891,120,25
1609,236,5
1431,199,22
2397,293,19
2753,403,26
1359,176,12
1540,216,6
2010,280,20
1189,163,14
1478,232,20
940,119,8
1551,210,15
1193,158,13
658,90,12
1235,160,18
2968,399,63
1815,237,14
1194,171,5
855,128,11
1422,197,20
1195,178,20
2013,272,21
1359,192,37
1695,240,13
950,138,17
1381,186,18
1123,161,4
780,104,10
758,104,4
987,150,16
1680,221,13
1838,255,19
3733,533,8
807,108,29
1202,195,15
1238,173,11
1232,166,15
1453,185,13
1203,178,17
1200,177,8
658,94,7
2108,281,43
1985,298,13
919,128,4
1361,187,1
2008,306,6
1124,149,2
1638,231,7
1191,153,11
1131,162,9
1035,156,4
1490,194,9
1583,200,10
1231,176,3
1844,256,10
2651,387,10
2591,370,11
1833,285,11
920,131,9
2277,331,9
2573,344,14
1329,183,3
1448,197,5
1358,196,12
850,123,10
1012,131,5
3795,506,19
1105,143,4
3272,484,22
1691,227,7
2689,399,13
910,130,13
3609,546,13
1321,193,17
2517,318,56
2055,277,35
752,95,5
1214,160,23
1558,182,31
1800,237,22
1059,139,15
1386,194,8
1651,208,20
2508,342,47
1583,195,19
2067,251,38
3419,463,20
735,115,6
623,95,2
1386,184,15
473,59,4
768,91,6
1012,143,4
644,85,4
737,96,4
1148,147,6
765,114,6
781,105,3
755,102,4
547,75,3
547,79,4
575,76,4
2084,279,5
839,114,7
1535,222,28
698,90,2
1883,245,10
1035,128,10
1267,176,19
340,50,2
819,96,16
1487,206,15
1083,161,6
1135,143,4
951,141,5
1319,185,5
1337,172,14
911,107,12
1584,227,9
627,86,15
977,129,8
1042,139,10
1168,170,18
3512,502,57
2220,303,23
922,142,7
604,79,2
1095,142,5
394,50,9
330,42,7
1269,184,8
1439,200,11
407,41,4
707,93,5
1225,176,10
799,117,4
1889,272,9
951,127,6
517,72,3
776,112,6
1066,140,16
1860,239,15
1901,238,36
1159,155,15
1723,237,9
2791,380,45
1425,204,18
824,124,13
995,146,10
1737,249,24
1444,196,28
2074,284,13
1188,167,17
1636,235,32
1673,232,18
1440,203,11
1965,259,23
2232,326,17
1230,169,17
1927,267,17
1476,196,18
1831,248,15
1310,166,9
