char_len,word_count,sentence_count
1403,196,1
1617,242,1
1106,146,1
1280,161,1
1992,272,1
928,141,1
337,51,1
1090,174,1
187,24,1
695,98,1
379,53,1
1161,165,1
620,87,1
730,111,1
670,84,1
535,73,1
1656,224,1
559,88,1
631,75,1
1218,171,1
838,102,1
1139,156,1
530,80,1
429,58,1
371,43,1
1345,187,1
728,98,1
640,74,1
416,58,1
1106,147,1
1023,148,1
1982,291,1
969,135,1
818,110,1
413,61,1
2330,361,1
1464,207,1
719,108,1
901,109,1
1967,292,1
2254,320,1
1396,186,1
1249,162,1
1289,191,1
1421,223,1
2510,357,1
765,119,1
1438,215,1
2656,358,1
2623,374,1
2416,370,1
1611,201,1
2606,373,1
1617,229,1
2972,426,1
2872,433,1
1557,222,1
1725,262,1
1539,222,1
1546,215,1
3258,442,1
1381,206,1
2713,380,1
890,114,1
2307,315,1
3462,496,1
1607,213,1
1242,177,1
1986,294,1
1559,221,1
536,82,1
698,106,1
638,87,1
910,135,1
479,78,1
480,75,1
883,146,1
501,83,1
462,79,1
533,87,1
1532,206,1
2285,328,1
3205,486,1
1997,310,1
1241,169,1
676,93,1
1066,153,1
1299,178,1
937,167,1
1368,200,1
735,101,1
3748,554,1
921,136,1
1077,166,1
1085,155,1
483,74,1
1869,259,1
1023,162,1
2884,442,1
725,107,1
2263,344,1
2411,364,1
1446,202,1
562,86,1
2785,420,1
1007,150,1
2192,317,1
632,83,1
2280,332,1
3141,443,1
3162,466,1
2022,285,1
2219,324,1
1975,270,1
1420,212,1
2465,364,1
2481,378,1
2213,319,1
2265,338,1
1422,197,1
1086,163,1
1730,258,1
2772,408,1
1543,219,1
1696,260,1
7518,1047,1
1531,218,1
2245,299,1
978,145,1
1590,198,1
4119,640,1
1926,259,1
603,83,1
860,126,1
1411,191,1
4035,582,1
2058,301,1
1125,169,1
1427,202,1
1380,200,1
5516,849,1
2491,346,1
1815,275,1
2747,371,1
852,113,1
4728,665,1
968,139,1
3163,420,1
753,112,1
1046,167,1
2649,383,1
309,50,1
1253,157,1
781,126,1
2681,421,1
1321,189,1
666,102,1
930,145,1
2477,381,1
1044,142,1
1195,178,1
3516,500,1
2065,325,1
3747,534,1
1710,244,1
1333,198,1
3374,497,1
500,72,1
1547,219,1
1710,239,1
467,62,1
458,63,1
968,135,1
880,135,1
467,65,1
515,72,1
448,59,1
963,142,1
604,81,1
1242,175,1
753,99,1
1078,138,1
1217,163,1
1297,184,1
1024,140,1
901,129,1
1398,197,1
1537,238,1
2536,380,1
883,120,1
1365,195,1
754,91,1
410,55,1
269,37,1
288,40,1
234,32,1
614,93,1
713,110,1
1060,145,1
735,103,1
281,50,1
1241,162,1
607,83,1
218,33,1
1287,175,1
627,100,1
153,20,1
4336,642,1
324,45,1
5984,887,1
4792,705,1
3626,541,1
4033,599,1
4285,643,1
3274,489,1
3776,556,1
3079,459,1
2125,315,1
2998,431,1
3540,527,1
4248,619,1
2979,435,1
4810,709,1
438,61,1
550,73,1
289,37,1
155,21,1
254,32,1
376,48,1
704,105,1
208,30,1
560,82,1
525,72,1
667,101,1
364,46,1
325,47,1
751,114,1
190,23,1
399,55,1
246,34,1
744,102,1
112,13,1
436,60,1
348,49,1
594,91,1
316,50,1
338,52,1
126,15,1
1081,143,1
803,119,1
557,82,1
911,143,1
1416,216,1
2474,387,1
944,136,1
2087,327,1
872,134,1
672,92,1
1264,179,1
1792,283,1
1619,230,1
754,99,1
720,102,1
931,128,1
1720,247,1
385,55,1
884,121,1
1753,257,1
1134,159,1
807,108,1
764,99,1
816,123,1
773,107,1
787,113,1
272,31,1
283,38,1
1950,275,1
813,108,1
943,128,1
299,45,1
303,43,1
429,61,1
407,59,1
198,27,1
228,36,1
513,76,1
308,43,1
210,30,1
321,50,1
329,47,1
327,44,1
393,57,1
240,40,1
320,44,1
160,25,1
450,62,1
260,38,1
278,35,1
337,43,1
376,53,1
360,56,1
363,59,1
674,107,1
281,37,1
403,66,1
536,93,1
466,74,1
301,39,1
277,37,1
446,60,1
406,61,1
631,99,1
493,78,1
1114,189,1
452,75,1
572,85,1
305,49,1
527,94,1
598,91,1
394,59,1
1074,156,1
463,67,1
352,62,1
377,51,1
452,65,1
407,62,1
338,55,1
329,46,1
257,37,1
363,58,1
2529,347,1
1918,276,1
2852,421,1
1695,240,1
3287,468,1
4378,612,1
3595,496,1
2440,347,1
732,91,1
3181,481,1
2238,326,1
2327,327,1
2580,362,1
4174,604,1
4771,672,1
1166,153,1
958,146,1
1281,187,1
825,121,1
704,87,1
965,142,1
780,115,1
893,125,1
681,99,1
655,92,1
663,94,1
734,111,1
759,116,1
756,105,1
907,128,1
1033,150,1
382,58,1
754,116,1
498,72,1
3136,458,1
2288,314,1
583,87,1
2179,315,1
2077,308,1
1963,287,1
277,38,1
2771,423,1
1265,182,1
5762,804,1
814,109,1
1857,231,1
1222,195,1
941,132,1
1729,232,1
1859,282,1
877,140,1
2585,364,1
1867,258,1
989,131,1
920,141,1
1327,191,1
1842,258,1
2176,318,1
2082,285,1
2282,335,1
819,113,1
2427,357,1
1780,259,1
1281,177,1
1398,203,1
1005,142,1
2266,320,1
2695,383,1
2653,396,1
1645,236,1
1141,148,1
1510,227,1
2393,358,1
2616,325,1
2219,333,1
971,143,1
3807,552,1
2316,321,1
2145,319,1
1447,198,1
2229,328,1
515,63,1
3081,409,1
871,119,1
926,140,1
1746,238,1
1730,263,1
5396,786,1
1263,167,1
1285,160,1
917,125,1
1361,187,1
2023,276,1
1234,166,1
806,109,1
644,92,1
1746,248,1
988,150,1
930,139,1
2112,288,1
442,76,1
