skill,count
communication,127
cyber security,117
algorithms,112
cryptography,101
vulnerability,98
authentications,81
operating systems,65
encryption,53
computer networks,48
machine learning,43
information systems,43
microsoft access,42
artificial intelligence,41
access controls,40
c programming language,40
network security,39
public key cryptography,39
information privacy,39
risk management,38
security policies,38
telecommunications,38
firewall,37
risk analysis,34
information and communications technology,34
computer security,33
network routing,32
cryptographic protocols,32
simulations,32
auditing,32
computer systems,31
study skills,30
computer science,30
web applications,29
economics,29
legislation,29
digital signature,28
internet of things iot,28
cybercrime,27
data analysis,27
python programming language,26
big data,25
wireless communications,25
penetration testing,24
rsa cryptosystem,24
transport layer security tls,24
tcpip,24
security systems,23
microsoft teams,22
resilience,22
internet protocol security ip sec,22
forensic sciences,22
virtual private networks vpn,21
java programming language,21
file systems,20
intrusion detection and prevention,20
telecommunications networks,20
virtualization,20
application programming interface api,20
software security,19
hash functions,19
software development,19
automation,19
debugging,19
biometrics,18
digital forensics,18
artificial neural networks,18
deep learning,18
mitigation,18
embedded systems,18
security requirements analysis,17
cipher,17
cloud computing,17
design elements and principles,17
it security architecture,16
it security,16
security management,16
data structures,16
wireless networks,16
communications security,16
social engineering,15
cryptanalysis,15
authorization computing,15
information security management,15
digital systems,15
programming languages,15
general data protection regulation gdpr,15
broadcasting,15
data intelligence,15
sql programming language,14
software development life cycle,14
linux,14
isoiec 27001,14
communications protocols,14
security controls,14
project management,14
reverse engineering,14
objectoriented programming oop,14
cyber threat intelligence,13
local area networks,13
session computer science,13
