label,program_count,ratio
Cybersecurity-related certifications,261,7.25
Cybersecurity controls and solutions,180,5.0
"Cybersecurity standards, methodologies and frameworks",174,4.833
Cybersecurity recommendations and best practices,150,4.167
"Cybersecurity related laws, regulations and legislations",145,4.028
Operating systems security,135,3.75
Computer networks security,135,3.75
Cybersecurity attack procedures,120,3.333
Identify and solve cybersecurity-related issues,116,3.222
Cybersecurity-related technologies,90,2.5
Cyber threats,85,2.361
Computer systems vulnerabilities,60,1.667
Cybersecurity risks,60,1.667
"Monitoring, testing and evaluating cybersecurity controls' effectiveness",60,1.667
Cybersecurity policies,58,1.611
Responsible information disclosure procedures,38,1.056
Cybersecurity and cyber-safety co-engineering,35,0.972
Define and apply maturity models for cybersecurity management,32,0.889
"Cybersecurity awareness, education and training programme development",32,0.889
Cybersecurity Workforce Management,32,0.889
Operational Technology (OT) Cybersecurity Engineering,32,0.889
Cross-domain and border-domain knowledge related to cybersecurity,31,0.861
Integrate cybersecurity solutions to the organisation’s infrastructure,31,0.861
Implement cybersecurity recommendations and best practices,30,0.833
"Anticipate cybersecurity threats, needs and upcoming challenges",30,0.833
Ethical cybersecurity organisation requirements,30,0.833
Cybersecurity-related requirements analysis,30,0.833
"Identify needs in cybersecurity awareness, training and education",30,0.833
Utilise existing cybersecurity-related training resources,30,0.833
"Cybersecurity education and training standards, methodologies and frameworks",30,0.833
Monitor new advancements in cybersecurity-related technologies,30,0.833
Cybersecurity Policy and Planning,30,0.833
Economic aspects of the cybersecurity ecosystem,30,0.833
Assess and enhance an organisation’s cybersecurity posture,29,0.806
Manage cybersecurity resources,29,0.806
"Develop, champion and lead the execution of a cybersecurity strategy",29,0.806
Influence an organisation’s cybersecurity culture,29,0.806
Establish a cybersecurity plan,29,0.806
Cybersecurity maturity models,29,0.806
Cybersecurity procedures,29,0.806
Draw cybersecurity architectural and functional specifications,29,0.806
Cybersecurity trends,29,0.806
Legacy cybersecurity procedures,29,0.806
"Cybersecurity-related research, development and innovation (RDI)",29,0.806
Multidiscipline aspect of cybersecurity,29,0.806
Build a cybersecurity risk-aware environment,29,0.806
"Identify, analyse and correlate cybersecurity events",29,0.806
Cybersecurity Curriculum Development,29,0.806
Cybersecurity Instruction,29,0.806
Cybersecurity Legal Advice,29,0.806
Executive Cybersecurity Leadership,29,0.806
Cybersecurity Architecture ,29,0.806
Defensive Cybersecurity,29,0.806
Assessment of information security effectiveness and degrees of control,29,0.806
Software and Hardware Security Engineering,29,0.806
Cybersecurity-aware culture,29,0.806
Cybersecurity profiling,29,0.806
Cybersecurity regulation analysis and design,29,0.806
Cybersecurity uncertainty models,29,0.806
History of cybersecurity,29,0.806
Human perception of cybersecurity,29,0.806
Managerial aspects concerning information security,29,0.806
Legal and societal issues in information security,29,0.806
Standards for Information Security,29,0.806
Security and risk analysis of components compositions,29,0.806
Decompose and analyse systems to develop security and privacy requirements and  ,28,0.778
Systems Security Management,28,0.778
"Risk management standards, methodologies and frameworks",28,0.778
Conduct user and business security requirements analysis,27,0.75
Communications Security (COMSEC) Management,27,0.75
Software Security Assessment,27,0.75
Systems Security Analysis,27,0.75
Security Management and Governance,27,0.75
Computer ethics and security,27,0.75
Distributed systems security,27,0.75
Distributed systems security analysis and simulation,27,0.75
Investigations of computer crime (cybercrime) and security violations,27,0.75
Refinement and verification of security management policy models,27,0.75
Security design patterns,27,0.75
