program,university,country,overall_coverage,items_covered,items_total,intra_redundancy,depth_score,depth_index,highest_bloom,n_bloom_levels,latency_score,age_freshness,tech_modernity,soa_density,assessment_diversity,composite_score,grade,overall_breadth,overall_depth,coherence_score,immersion_index,embedding_mean_score,n_outcomes,n_assessments
"Computer Engineering, Cybersecurity and Artificial Intelligence",University of Cagliari,Italy,0.7319,344,470,0.0259,0.7722,0.7222,Create,2,0.54,0.9,0.2,1.0,0.1111,0.8145,A,0.201,0.258,0.27,0.0,0.3558,0,1
MSc Cybersecurity,University College Dublin,Ireland,0.6617,311,470,0.0259,0.8,0.75,Create,2,0.535,1.0,0.1,1.0,0.1111,0.8018,A,0.109,0.199,0.52,0.3,0.3331,1,1
Cybersecurity (Engineering),Politcnico di Torino,Italy,0.6936,326,470,0.0287,0.675,0.625,Create,2,0.535,1.0,0.1,0.9973,0.2222,0.7837,B,0.186,0.225,0.5,0.0,0.3563,4,2
Cybersecurity,KTH Royal Institute of Technology,Sweden,0.6362,299,470,0.0318,0.7417,0.6667,Create,3,0.535,1.0,0.1,1.0,0.1111,0.7829,B,0.048,0.176,0.77,0.0,0.3389,1,1
Digital Infrastructure and Cyber Security,Norwegian University of Science and Technology (NTNU),Norway,0.6894,324,470,0.0259,0.6167,0.5417,Create,3,0.535,1.0,0.1,1.0,0.1111,0.7721,B,0.099,0.215,0.5,0.0,0.3172,1,1
Master's Degree in Cybersecurity and Data Intelligence,Universidad de La Laguna,Spain,0.7106,334,470,0.0259,0.8083,0.7333,Create,3,0.48,0.9333,0.0,0.8311,0.2222,0.7652,B,0.095,0.206,0.5,0.281,0.3329,2,2
Master of Research in Cybersecurity,Universidad de León,Spain,0.6979,328,470,0.0259,0.6306,0.5556,Evaluate,3,0.45,0.8333,0.0,1.0,0.2222,0.7642,B,0.131,0.272,0.5,0.306,0.3843,0,2
Master in Cybersecurity,University of Aveiro,Portugal,0.6213,292,470,0.0356,0.6238,0.5238,Create,4,0.56,0.9667,0.2,1.0,0.3333,0.7587,B,0.102,0.166,0.77,0.281,0.297,1,3
Cybersecurity and Data Science,University of Piraeus,Greece,0.6787,319,470,0.0287,0.575,0.5,Evaluate,3,0.505,0.9,0.1,1.0,0.1111,0.7561,B,0.072,0.191,0.25,0.0,0.3638,1,1
"Master of Computer Systems, Communication and Security (Information Security Specialization)",Masaryk University,Czech Republic,0.7277,342,470,0.0287,0.4833,0.4333,Apply,2,0.55,0.9333,0.2,0.965,0.1111,0.748,B,0.131,0.28,0.52,0.0,0.344,2,1
Information Security Management,FH OÖ,Austria,0.666,313,470,0.0287,0.5194,0.4444,Analyze,3,0.475,0.8,0.1,1.0,0.1111,0.7373,B,0.207,0.225,0.25,0.0,0.2948,0,1
"Computer engineering - second degree study, specialization cybersecurity and cloud technologies",Rzeszów University of Technology,Poland,0.6191,291,470,0.0356,0.7602,0.6852,Create,3,0.57,1.0,0.2,0.7836,0.1111,0.7329,B,0.181,0.214,0.54,0.388,0.3536,2,1
Master's study programme Cyber Security,Faculty of Information Studies in Novo mesto,Slovenia,0.7064,332,470,0.0287,0.6417,0.5417,Evaluate,4,0.535,1.0,0.1,0.7889,0.1111,0.7281,B,0.284,0.26,0.52,0.0,0.356,2,1
Master of Electrical Engineering (ICT Security and Networks),KU Leuven,Belgium,0.6553,308,470,0.0295,0.8131,0.7381,Create,3,0.48,0.9333,0.0,0.0,0.0,0.7254,B,0.08,0.191,0.79,0.0,0.3282,1,0
"Networking, Infrastructure and Cybersecurity (NICS)",Jönköping University,Sweden,0.6128,288,470,0.0318,0.525,0.5,Apply,1,0.4333,1.0,0.0,1.0,0.1111,0.7184,B,0.068,0.0,0.25,0.412,0.3606,1,1
Advanced Master of Cybersecurity,KU Leuven,Belgium,0.7191,338,470,0.0259,0.8083,0.7333,Create,3,0.5,1.0,0.0,0.6146,0.2222,0.7162,B,0.095,0.198,0.27,0.0,0.3542,1,2
Digital Technologies and Information Security,Iscte - Instituto Universitário de Lisboa,Portugal,0.6766,318,470,0.0259,0.575,0.5,Analyze,3,0.535,1.0,0.1,0.7891,0.2222,0.7078,B,0.215,0.233,0.27,0.0,0.369,2,2
Information and Information Technologies Security,Vilnius Gedmininas Technical University (VilniusTech),Lithuania,0.6574,309,470,0.0259,0.6583,0.5833,Create,3,0.435,0.6667,0.1,0.7993,0.1111,0.7072,B,0.079,0.202,0.02,0.0,0.3462,4,1
University Master in Cybersecurity,University of Alcala,Spain,0.4191,197,470,0.0439,0.6833,0.5833,Create,4,0.48,0.9333,0.0,1.0,0.3333,0.7068,B,0.026,0.143,0.5,0.319,0.2943,0,3
"Master in Engineering, Cybersecurity",South-Eastern Finland University of Applied Sciences,Finland,0.6915,325,470,0.0318,0.5167,0.4167,Analyze,4,0.46,0.8667,0.0,0.8291,0.0,0.6977,B,0.196,0.255,0.25,0.0,0.3614,0,0
Master in Cybersecurity Management,University of Agder,Norway,0.6468,304,470,0.0287,0.6667,0.5667,Create,4,0.535,1.0,0.1,0.6515,0.0,0.6839,B,0.16,0.204,0.27,0.0,0.3661,0,0
Information Security,"University of Maribor, Faculty of Criminal Justice and Security",Slovenia,0.6574,309,470,0.0287,0.675,0.625,Create,2,0.46,0.6333,0.2,0.6552,0.2222,0.6778,B,0.08,0.127,0.75,0.0,0.3901,2,2
Information & Cyber Security,Lucerne University of Applied Sciences and Arts,Switzerland,0.6851,322,470,0.0228,0.6611,0.6111,Evaluate,2,0.54,0.9,0.2,0.5444,0.1111,0.6672,B,0.052,0.184,0.27,0.0,0.3074,0,1
