key,text,role,max_similarity,mean_similarity
skill|Penetration Tester|Think creatively and outside the box,Think creatively and outside the box,Penetration Tester,0.1293,0.0339
skill|Cyber Incident Responder|Manage and analyse log files,Manage and analyse log files,Cyber Incident Responder,0.1422,0.0716
skill|Chief Information Security Officer (CISO)|Motivate and encourage people,Motivate and encourage people,Chief Information Security Officer (CISO),0.1457,0.0438
skill|Cybersecurity Educator|Motivate and encourage people,Motivate and encourage people,Cybersecurity Educator,0.1457,0.0438
skill|Cyber Incident Responder|Work under pressure,Work under pressure,Cyber Incident Responder,0.1475,0.0756
knowledge|Cybersecurity Implementer|Testing procedures,Testing procedures,Cybersecurity Implementer,0.2142,0.1292
knowledge|Digital Forensics Investigator|Testing procedures,Testing procedures,Digital Forensics Investigator,0.2142,0.1292
skill|Cyber Threat Intelligence Specialist|Use and apply CTI platforms and tools,Use and apply CTI platforms and tools,Cyber Threat Intelligence Specialist,0.2197,0.147
skill|Digital Forensics Investigator|Work ethically and independently; not influenced a,Work ethically and independently; not influenced and biased by internal or external  actors,Digital Forensics Investigator,0.2211,0.0867
skill|Cybersecurity Auditor|Decompose and analyse systems to identify weakness,Decompose and analyse systems to identify weaknesses and ineffective controls,Cybersecurity Auditor,0.2237,0.1251
skill|Cybersecurity Researcher|Decompose and analyse systems to identify weakness,Decompose and analyse systems to identify weaknesses and ineffective controls,Cybersecurity Researcher,0.2237,0.1251
skill|Digital Forensics Investigator|Collect information while preserving its integrity,Collect information while preserving its integrity,Digital Forensics Investigator,0.2237,0.1235
skill|Penetration Tester|Decompose and analyse systems to identify weakness,Decompose and analyse systems to identify weaknesses and ineffective controls,Penetration Tester,0.2237,0.1251
"skill|Cyber Incident Responder|Communicate, present and report to relevant stakeh","Communicate, present and report to relevant stakeholders",Cyber Incident Responder,0.2243,0.1434
"skill|Cyber Threat Intelligence Specialist|Communicate, present and report to relevant stakeh","Communicate, present and report to relevant stakeholders",Cyber Threat Intelligence Specialist,0.2243,0.1434
"skill|Cybersecurity Architect|Communicate, present and report to relevant stakeh","Communicate, present and report to relevant stakeholders",Cybersecurity Architect,0.2243,0.1434
"skill|Cybersecurity Educator|Communicate, present and report to relevant stakeh","Communicate, present and report to relevant stakeholders",Cybersecurity Educator,0.2243,0.1434
"skill|Cybersecurity Implementer|Communicate, present and report to relevant stakeh","Communicate, present and report to relevant stakeholders",Cybersecurity Implementer,0.2243,0.1434
"skill|Cybersecurity Researcher|Communicate, present and report to relevant stakeh","Communicate, present and report to relevant stakeholders",Cybersecurity Researcher,0.2243,0.1434
"skill|Cybersecurity Risk Manager|Communicate, present and report to relevant stakeh","Communicate, present and report to relevant stakeholders",Cybersecurity Risk Manager,0.2243,0.1434
"skill|Penetration Tester|Communicate, present and report to relevant stakeh","Communicate, present and report to relevant stakeholders",Penetration Tester,0.2243,0.1434
"skill|Cybersecurity Architect|Select appropriate specifications, procedures and ","Select appropriate specifications, procedures and controls",Cybersecurity Architect,0.2369,0.1648
knowledge|Cyber Incident Responder|Incident handling recommendations and best practic,Incident handling recommendations and best practices,Cyber Incident Responder,0.248,0.1081
"skill|Cyber Legal, Policy & Compliance Officer|Comprehensive understanding of the business strate","Comprehensive understanding of the business strategy, models and products and  ability to factor into legal, regulatory and standards’ requirements","Cyber Legal, Policy & Compliance Officer",0.2494,0.1433
